dataset,step,strategy,mean_f1,std_f1,mean_patterns,std_patterns
BPIC12,0,All,1.0,0.0,23.0,0.0
BPIC12,0,Pareto,1.0,0.0,6.0,0.7071067811865475
Production,0,All,0.73188,0.06624101448498504,25.8,0.44721359549995787
Production,0,Pareto,0.73038,0.04978028726313263,6.2,0.8366600265340753
Production,1,All,0.71224,0.055340699308917336,115.4,8.905054744357273
Production,1,Pareto,0.70026,0.07081527377621302,14.8,2.3874672772626644
Production,2,All,0.7170799999999999,0.052245832369673305,214.0,53.67960506561128
Production,2,Pareto,0.67954,0.08215386783347453,20.2,5.357238094391549
